행정구역,계_0~4세,계_5~9세,계_10~14세,계_15~19세,계_20~24세,계_25~29세,계_30~34세,계_35~39세,계_40~44세,계_45~49세,계_50~54세,계_55~59세,계_60~64세,계_65~69세,계_70~74세,계_75~79세,계_80~84세,계_85~89세,계_90~94세,계_95~99세,계_100세 이상,남_총인구수,남_연령구간인구수,남_0~4세,남_5~9세,남_10~14세,남_15~19세,남_20~24세,남_25~29세,남_30~34세,남_35~39세,남_40~44세,남_45~49세,남_50~54세,남_55~59세,남_60~64세,남_65~69세,남_70~74세,남_75~79세,남_80~84세,남_85~89세,남_90~94세,남_95~99세,남_100세 이상,여_총인구수,여_연령구간인구수,여_0~4세,여_5~9세,여_10~14세,여_15~19세,여_20~24세,여_25~29세,여_30~34세,여_35~39세,여_40~44세,여_45~49세,여_50~54세,여_55~59세,여_60~64세,여_65~69세,여_70~74세,여_75~79세,여_80~84세,여_85~89세,여_90~94세,여_95~99세,여_100세 이상
충청북도 청주시 상당구 (4311100000),"6,646","9,488","9,722","9,987","12,370","12,396","10,608","12,887","14,515","16,086","17,435","15,741","15,336","10,508","6,791","5,610","4,186","2,307",819,171,31,"96,225","96,225","3,337","4,842","5,002","5,211","6,634","6,721","5,547","6,472","7,291","7,909","8,543","7,967","7,619","5,146","3,199","2,365","1,513",682,188,34,3,"97,415","97,415","3,309","4,646","4,720","4,776","5,736","5,675","5,061","6,415","7,224","8,177","8,892","7,774","7,717","5,362","3,592","3,245","2,673","1,625",631,137,28
충청북도 청주시 서원구 (4311200000),"5,217","7,905","9,401","10,281","14,193","13,940","10,517","11,635","13,789","16,283","18,001","15,601","15,979","10,638","6,986","5,558","4,007","2,289",716,166,25,"95,945","95,945","2,698","4,003","4,844","5,364","7,459","7,847","5,565","5,910","6,849","8,018","8,761","7,777","7,803","5,044","3,191","2,393","1,536",707,145,25,6,"97,182","97,182","2,519","3,902","4,557","4,917","6,734","6,093","4,952","5,725","6,940","8,265","9,240","7,824","8,176","5,594","3,795","3,165","2,471","1,582",571,141,19
충청북도 청주시 흥덕구 (4311300000),"10,457","13,380","13,262","13,080","17,817","23,007","20,072","21,345","21,206","22,004","23,116","19,619","18,103","11,481","7,007","5,253","3,819","2,219",674,156,18,"135,468","135,468","5,296","6,847","6,859","6,785","9,289","12,798","10,693","11,099","10,902","11,062","11,537","9,878","9,011","5,600","3,356","2,239","1,381",676,135,23,2,"131,627","131,627","5,161","6,533","6,403","6,295","8,528","10,209","9,379","10,246","10,304","10,942","11,579","9,741","9,092","5,881","3,651","3,014","2,438","1,543",539,133,16
충청북도 청주시 청원구 (4311400000),"8,252","11,089","10,411","8,892","11,394","14,535","14,275","16,792","16,715","15,488","14,735","12,686","12,932","8,782","5,685","4,731","3,606","1,999",625,116,40,"99,549","99,549","4,288","5,624","5,284","4,723","6,096","8,355","7,940","8,804","8,945","8,046","7,628","6,486","6,387","4,240","2,693","1,997","1,313",541,127,23,9,"94,231","94,231","3,964","5,465","5,127","4,169","5,298","6,180","6,335","7,988","7,770","7,442","7,107","6,200","6,545","4,542","2,992","2,734","2,293","1,458",498,93,31
충청북도 충주시 (4313000000),"5,841","8,233","9,270","9,280","12,029","12,028","10,651","12,408","14,057","16,293","18,826","18,133","19,589","14,090","8,993","8,216","6,741","3,559","1,086",246,33,"106,069","106,069","2,996","4,098","4,819","4,823","6,773","7,084","5,925","6,605","7,204","8,400","9,541","9,354","9,964","6,931","4,206","3,486","2,503","1,032",254,63,8,"103,533","103,533","2,845","4,135","4,451","4,457","5,256","4,944","4,726","5,803","6,853","7,893","9,285","8,779","9,625","7,159","4,787","4,730","4,238","2,527",832,183,25
충청북도 제천시 (4315000000),"3,403","4,978","5,509","5,983","7,976","6,650","5,629","6,997","8,098","9,824","11,918","11,603","13,619","10,304","6,568","5,793","4,407","2,130",674,148,58,"66,444","66,444","1,769","2,527","2,805","3,155","4,286","3,856","3,000","3,669","4,188","5,031","6,131","5,876","6,793","5,172","3,118","2,484","1,701",687,153,27,16,"65,825","65,825","1,634","2,451","2,704","2,828","3,690","2,794","2,629","3,328","3,910","4,793","5,787","5,727","6,826","5,132","3,450","3,309","2,706","1,443",521,121,42
충청북도 보은군 (4372000000),570,810,975,"1,071","1,299","1,024",886,"1,180","1,394","1,811","2,502","3,167","3,978","3,213","2,358","2,152","1,946","1,210",424,78,14,"16,170","16,170",292,413,535,550,765,617,507,628,779,"1,001","1,402","1,753","2,092","1,605","1,178",869,722,350,95,17,0,"15,892","15,892",278,397,440,521,534,407,379,552,615,810,"1,100","1,414","1,886","1,608","1,180","1,283","1,224",860,329,61,14
충청북도 옥천군 (4373000000),942,"1,549","1,904","1,904","2,364","1,849","1,629","2,152","2,706","3,417","4,230","4,534","5,671","4,679","3,422","2,906","2,296","1,532",514,99,13,"25,350","25,350",485,792,999,"1,017","1,363","1,049",862,"1,085","1,431","1,859","2,242","2,478","2,930","2,369","1,720","1,214",836,464,128,26,1,"24,962","24,962",457,757,905,887,"1,001",800,767,"1,067","1,275","1,558","1,988","2,056","2,741","2,310","1,702","1,692","1,460","1,068",386,73,12
충청북도 영동군 (4374000000),952,"1,244","1,501","1,739","2,394","1,649","1,312","1,757","2,097","2,960","3,794","4,308","5,366","4,282","3,265","3,135","2,541","1,423",430,98,14,"23,068","23,068",496,623,806,878,"1,301",987,699,928,"1,102","1,636","2,085","2,240","2,768","2,206","1,522","1,300",932,437,101,17,4,"23,193","23,193",456,621,695,861,"1,093",662,613,829,995,"1,324","1,709","2,068","2,598","2,076","1,743","1,835","1,609",986,329,81,10
충청북도 증평군 (4374500000),"1,259","1,771","1,777","1,568","2,106","2,350","2,019","2,464","2,708","2,810","3,136","2,854","3,043","2,225","1,428","1,239",991,541,144,33,4,"19,031","19,031",666,913,923,830,"1,182","1,451","1,129","1,365","1,450","1,528","1,661","1,511","1,560","1,094",692,512,381,139,38,4,2,"17,439","17,439",593,858,854,738,924,899,890,"1,099","1,258","1,282","1,475","1,343","1,483","1,131",736,727,610,402,106,29,2
